period,price_cents_per_kwh
2001-01-01,6.87
2001-04-01,7.27
2001-07-01,7.78
2001-10-01,7.16
2002-01-01,6.96
2002-04-01,7.18
2002-07-01,7.55
2002-10-01,7.04
2003-01-01,7.07
2003-04-01,7.5
2003-07-01,7.87
2003-10-01,7.24
2004-01-01,7.26
2004-04-01,7.59
2004-07-01,8.09
2004-10-01,7.46
2005-01-01,7.54
2005-04-01,7.98
2005-07-01,8.66
2005-10-01,8.26
2006-01-01,8.41
2006-04-01,8.88
2006-07-01,9.49
2006-10-01,8.69
2007-01-01,8.75
2007-04-01,9.1
2007-07-01,9.59
2007-10-01,9.01
2008-01-01,8.95
2008-04-01,9.69
2008-07-01,10.51
2008-10-01,9.71
2009-01-01,9.7
2009-04-01,9.84
2009-07-01,10.22
2009-10-01,9.48
2010-01-01,9.4
2010-04-01,9.84
2010-07-01,10.35
2010-10-01,9.62
2011-01-01,9.53
2011-04-01,9.88
2011-07-01,10.42
2011-10-01,9.65
2012-01-01,9.57
2012-04-01,9.77
2012-07-01,10.29
2012-10-01,9.65
2013-01-01,9.71
2013-04-01,10.03
2013-07-01,10.57
2013-10-01,9.89
2014-01-01,10.24
2014-04-01,10.34
2014-07-01,10.93
2014-10-01,10.2
2015-01-01,10.27
2015-04-01,10.3
2015-07-01,10.87
2015-10-01,10.12
2016-01-01,9.99
2016-04-01,10.16
2016-07-01,10.73
2016-10-01,10.11
2017-01-01,10.23
2017-04-01,10.44
2017-07-01,10.91
2017-10-01,10.28
2018-01-01,10.39
2018-04-01,10.45
2018-07-01,10.9
2018-10-01,10.32
2019-01-01,10.33
2019-04-01,10.47
2019-07-01,10.96
2019-10-01,10.33
2020-01-01,10.22
2020-04-01,10.56
2020-07-01,11.02
2020-10-01,10.47
2021-01-01,10.75
2021-04-01,10.88
2021-07-01,11.53
2021-10-01,11.13
2022-01-01,11.37
2022-04-01,12.14
2022-07-01,13.29
2022-10-01,12.45
2023-01-01,12.6
2023-04-01,12.38
2023-07-01,13.16
2023-10-01,12.48
2024-01-01,12.63
2024-04-01,12.74
2024-07-01,13.49
2024-10-01,12.79
2025-01-01,13.16
2025-04-01,13.39
2025-07-01,14.27
2025-10-01,13.62
2026-01-01,14.23
