period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2026-Q1,AK,Alaska,ALL,all sectors,366947,23.77,420.47913,1768.91593,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,AL,Alabama,ALL,all sectors,2849545,12.84,2796.65677,21776.93137,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,AR,Arkansas,ALL,all sectors,1747290,9.93,1295.05737,13046.49499,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,AZ,Arizona,ALL,all sectors,3561151,12.34,2441.09791,19789.73761,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,CA,California,ALL,all sectors,16059729,26.85,14852.42289,55317.27172,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,CO,Colorado,ALL,all sectors,2951351,13.28,1790.27514,13481.22938,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,CT,Connecticut,ALL,all sectors,1765797,26.59,1919.41675,7218.949,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,DC,District of Columbia,ALL,all sectors,354249,23.53,596.51955,2534.68164,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,DE,Delaware,ALL,all sectors,542265,15.26,471.76252,3090.85594,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,ENC,East North Central,ALL,all sectors,23665800,13.99,20139.37882,143933.14338,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,ESC,East South Central,ALL,all sectors,10510843,12.16,9775.53997,80391.8864,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,FL,Florida,ALL,all sectors,12091188,13.84,7878.00377,56939.63474,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,GA,Georgia,ALL,all sectors,5544139,12.08,4470.85258,37020.26784,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,HI,Hawaii,ALL,all sectors,511736,37.15,789.62553,2125.72459,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,IA,Iowa,ALL,all sectors,1748901,9.28,1392.05797,14997.16561,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,ID,Idaho,ALL,all sectors,1056902,10.07,626.46048,6221.0507,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,IL,Illinois,ALL,all sectors,6068247,13.53,4502.88577,33290.01729,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,IN,Indiana,ALL,all sectors,3426865,13.11,3486.54353,26591.39714,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,KS,Kansas,ALL,all sectors,1629339,11.73,1164.8791,9931.37405,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,KY,Kentucky,ALL,all sectors,2360574,11.61,2246.96779,19353.98222,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,LA,Louisiana,ALL,all sectors,2492544,9.9,2266.44887,22890.88704,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MA,Massachusetts,ALL,all sectors,3358076,27.05,3694.83725,13661.44163,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MAT,Middle Atlantic,ALL,all sectors,19313369,19.87,18540.53543,93294.42204,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MD,Maryland,ALL,all sectors,2749804,21.09,3395.70639,16102.55344,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,ME,Maine,ALL,all sectors,864394,25.61,782.40099,3054.47141,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MI,Michigan,ALL,all sectors,5134843,15.27,3732.65184,24451.48112,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MN,Minnesota,ALL,all sectors,2954337,12.24,2062.40405,16851.26176,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MO,Missouri,ALL,all sectors,3321760,10.78,2182.07632,20245.14968,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MS,Mississippi,ALL,all sectors,1615522,12.25,1460.3098,11920.63207,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MT,Montana,ALL,all sectors,725568,11.21,454.53223,4053.14047,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,MTN,Mountain,ALL,all sectors,12709041,11.28,8183.7061,72567.08044,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NC,North Carolina,ALL,all sectors,5980706,12.12,4306.87794,35522.22232,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,ND,North Dakota,ALL,all sectors,490052,8.62,681.74896,7907.63051,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NE,Nebraska,ALL,all sectors,1156370,9.58,942.92479,9838.36118,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NEW,New England,ALL,all sectors,7678694,26.12,7903.81841,30258.8095,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NH,New Hampshire,ALL,all sectors,779051,23.96,710.77449,2966.61678,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NJ,New Jersey,ALL,all sectors,4364394,19.47,3571.67236,18342.65038,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NM,New Mexico,ALL,all sectors,1085195,8.93,681.73087,7630.6852,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NV,Nevada,ALL,all sectors,1530743,10.15,879.16066,8662.89876,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,NY,New York,ALL,all sectors,8675258,23.91,8756.54671,36629.72898,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,OH,Ohio,ALL,all sectors,5766856,14.28,5999.79108,42020.57042,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,OK,Oklahoma,ALL,all sectors,2249033,9.48,1642.76685,17327.98919,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,OR,Oregon,ALL,all sectors,2180630,11.36,1835.19236,16156.73053,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,PA,Pennsylvania,ALL,all sectors,6273717,16.21,6212.31636,38322.04268,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,PACC,Pacific Contiguous,ALL,all sectors,22097889,20.43,19717.30769,96507.6142,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,PACN,Pacific Noncontiguous,ALL,all sectors,878683,31.07,1210.10464,3894.64053,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,RI,Rhode Island,ALL,all sectors,534789,26.41,494.00197,1870.4341,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,SAT,South Atlantic,ALL,all sectors,35530541,13.6,29788.87153,218983.45851,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,SC,South Carolina,ALL,all sectors,3068293,12.67,2642.02529,20859.79064,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,SD,South Dakota,ALL,all sectors,531965,11.96,435.85758,3645.53612,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,TN,Tennessee,ALL,all sectors,3685202,11.97,3271.60561,27340.34074,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,TX,Texas,ALL,all sectors,14805496,10.33,12057.17396,116770.01727,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,US,U.S. Total,ALL,all sectors,165511946,14.23,141382.65837,993282.92239,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,UT,Utah,ALL,all sectors,1434316,10.54,861.49329,8176.08949,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,VA,Virginia,ALL,all sectors,4166798,13.12,4955.35175,37760.51991,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,VT,Vermont,ALL,all sectors,376586,20.34,302.38698,1486.89657,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,WA,Washington,ALL,all sectors,3857531,12.1,3029.69245,25033.61195,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,WI,Wisconsin,ALL,all sectors,3268989,13.75,2417.50662,17579.67741,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,WNC,West North Central,ALL,all sectors,11832724,10.62,8861.94874,83416.47891,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,WSC,West South Central,ALL,all sectors,21294363,10.15,17261.44704,170035.38849,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,WV,West Virginia,ALL,all sectors,1033098,11.71,1071.77173,9152.93206,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2026-Q1,WY,Wyoming,ALL,all sectors,363815,9.86,448.95553,4552.24887,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,AK,Alaska,ALL,all sectors,363903,22.93,374.95235,1635.09959,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,AL,Alabama,ALL,all sectors,2843226,12.49,2582.24216,20674.20383,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,AR,Arkansas,ALL,all sectors,1746855,9.59,1178.44293,12283.38228,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,AZ,Arizona,ALL,all sectors,3548780,12.4,2483.328,20019.82441,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,CA,California,ALL,all sectors,16206084,27.5,15749.9481,57282.04094,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,CO,Colorado,ALL,all sectors,2946492,12.79,1717.05522,13428.82589,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,CT,Connecticut,ALL,all sectors,1759048,23.45,1563.36681,6668.00981,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-Q4,DC,District of Columbia,ALL,all sectors,353267,21.78,527.83229,2423.42317,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
