model_name,developer,country,release_date,parameters,training_compute_flop,training_power_draw_w,training_cost_usd_2023,key,aa_creator,aa_release_date,price_1m_input,price_1m_output,price_1m_blended_3to1,intelligence_index,coding_index,math_index,gpqa,mmlu_pro,output_tokens_per_sec,time_to_first_token_s,mle_repo,mle_nickname,mle_total_params_b,mle_active_params_b,mle_precision,energy_wh_per_1k,energy_wh_per_1k_min,energy_wh_per_1k_max,gpus,energy_source_quality,la_model,la_lab,la_mmlu,la_gpqa,la_announced
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),"NTT Communication Science Laboratories,Tohoku University","Japan,Japan",2018-08-30,185000000.0,6.66e+17,,,awdlstmdoc5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DDFA,"Chinese Academy of Sciences,Michigan State University","China,United States of America",2015-11-23,5355584.0,,,,3ddfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DMM-CNN,University of Southern California,United States of America,2016-12-15,44500000.0,,420.82581181711174,,3dmmcnn,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 layer QRNN (h=2500),Salesforce Research,United States of America,2018-03-22,151000000.0,5.9158815e+17,268.1693571105067,,4layerqrnn,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Act Tether,"Facebook AI Research,Georgia Institute of Technology","United States of America,France,United States of America",2021-08-03,5000000.0,,,,6acttether,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.X K1,SK Telecom,Korea (Republic of),2025-12-30,519000000000.0,,,9642947.0,axk1,,,,,,,,,,,,,,,,,,,,,,,A.X K1,SK Hynix,,74.0,Dec/2025
A3C FF hs,"Google,University of Montreal / Université de Montréal","United States of America,Canada",2016-02-04,,,,,a3cffhs,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACF-WIDER,Chinese Academy of Sciences,China,2014-07-15,6144.0,76380000000000.0,,,acfwider,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADALINE,Stanford University,United States of America,1960-06-30,17.0,6600.0,,,adaline,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM (CIFAR-10),"University of Amsterdam,OpenAI,University of Toronto","Netherlands,United States of America,Canada",2014-12-22,2370000.0,624979800000000.0,,,adam,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,OpenAI,United States of America,2021-05-11,559000000.0,6.2e+21,,11274.484326547095,adm,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM-on-device,Apple,United States of America,2024-07-29,2730000000.0,4.5126e+23,2181166.9994404097,,afmondevice,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFM-server,Apple,United States of America,2024-07-29,,4.3e+24,5493309.4800721435,,afmserver,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERT,"Toyota Technological Institute at Chicago,Google Research","United States of America,United States of America",2019-09-26,18000000.0,,,,albert,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERT-xxlarge,"Toyota Technological Institute at Chicago,Google","United States of America,United States of America",2020-02-09,235000000.0,2.39e+21,471228.4599562152,4439.921298510215,albertxxlarge,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIGN,Google Research,United States of America,2021-06-11,820000000.0,2.598670000001e+22,466135.13260508416,32852.91660437908,align,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLaM adapted 70B,Saudi Data and Artificial Intelligence Authority,Saudi Arabia,2024-05-21,70000000000.0,1.062e+24,,,allamadapted70b,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALM 1.0,Beijing Academy of Artificial Intelligence / BAAI,China,2022-11-28,335000000.0,,,,alm10,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANN Eye Tracker,,,1993-11-29,5620.0,17534400000.0,,,anneyetracker,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-LDM,"Alibaba,University of Waterloo,Vector Institute","China,Canada,Canada",2022-11-20,1500000000.0,5.1e+20,,745.8360575556148,arldm,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE+ACE,University of Massachusetts Amherst,United States of America,1983-09-01,324.0,324000000.0,,,aseace,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWD-LSTM,"DeepMind,University of Oxford","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",2017-07-18,24000000.0,,,,awdlstm,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWD-LSTM + MoS + Partial Shuffled,University of Texas at Austin,United States of America,2019-06-10,35000000.0,3.15e+17,,,awdlstmmospartialshuffled,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),Salesforce Research,United States of America,2017-08-07,33000000.0,2.97e+17,,,awdlstm3layerlstmcontinuouscachepointer,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWD-LSTM+WT+Cache+IOG (WT2),NTT Communication Science Laboratories,Japan,2017-09-26,53000000.0,3180000000000000.0,,,awdlstmwtcacheiog,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWD-LSTM-DRILL + dynamic evaluation† (WT2),IDIAP,Switzerland,2019-05-14,34000000.0,4.08e+17,,,awdlstmdrilldynamicevaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",Carnegie Mellon University (CMU),United States of America,2017-11-10,35000000.0,3.36e+18,,,awdlstmmosdynamicevaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)","Peking University,Microsoft Research Asia","China,China",2018-09-18,35000000.0,,,,awdlstmmosdynamicevaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),IBM,United States of America,2018-08-14,35000000.0,,,,awdlstmmospdrdynamicevaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbLang (heavy sequences),University of Oxford,United Kingdom of Great Britain and Northern Ireland,2022-01-22,355000000.0,,,,ablang,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdaBoost.M2 Digit Recognition,AT&T,United States of America,1996-07-03,,,,,adaboostm2digitrecognition,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdaRNN,Beihang University,China,2014-06-01,13040.0,,,,adarnn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptive Input Transformer + RD,"Microsoft Research Asia,Soochow University","China,Taiwan",2021-06-28,247000000.00000003,8.58e+19,4853.736425906205,,adaptiveinputtransformerrd,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptive Inputs + LayerDrop,"Facebook AI Research,LORIA","United States of America,France,France",2019-09-25,423000000.00000006,,,,adaptiveinputslayerdrop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptive Subgrad,"Technion - Israel Institute of Technology,Google,University of California (UC) Berkeley","Israel,United States of America,United States of America",2011-10-03,,,,,adaptivesubgrad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Learning,Google DeepMind,United States of America,2015-12-15,,,,,advantagelearning,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent57,DeepMind,United Kingdom of Great Britain and Northern Ireland,2020-03-30,,,,,agent57,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgentFounder-30B,Alibaba,China,2025-09-16,30000000000.0,6.5367e+23,,,agentfounder30b,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Soccer Robot,Google DeepMind,United States of America,2023-04-26,,,,,agilesoccerrobot,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlexNet,University of Toronto,Canada,2012-09-30,60000000.0,4.7e+17,,15.56975299843643,alexnet,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlexaTM 20B,Amazon,United States of America,2022-08-02,19750000000.0,2.04374016e+23,102628.10792703854,267943.21130997164,alexatm20b,,,,,,,,,,,,,,,,,,,,,,,AlexaTM 20B,Amazon,,,Aug/2022
AlphaCode,DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-02-02,41100000000.0,2.38010000000001e+23,2566002.5357062262,,alphacode,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlphaFold,DeepMind,United Kingdom of Great Britain and Northern Ireland,2020-01-15,16340840.0,1e+20,,,alphafold,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlphaFold 2,DeepMind,United Kingdom of Great Britain and Northern Ireland,2020-11-30,93000000.0,2.99e+21,,3841.772612266474,alphafold2,,,,,,,,,,,,,,,,,,,,,,,,,,,
