model_id,nickname,energy_wh_per_1k,energy_wh_per_1k_min,energy_wh_per_1k_max,tasks_measured,gpus,total_params_billions,source_quality
Qwen/Qwen3-14B,Qwen 3 14B,0.09625440980183916,0.015214199237344097,0.37951762048242077,2,"B200,H100",14.0,measured
Qwen/Qwen3-235B-A22B-Instruct-2507,Qwen 3 235B A22B Instruct,0.6253003954005927,0.06673481708751514,2.332229908620642,1,"B200,H100",235.0,measured
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,Qwen 3 235B A22B Instruct FP8,0.860583042953198,0.13908158414685895,3.163763986656657,1,"B200,H100",235.0,measured
Qwen/Qwen3-235B-A22B-Thinking-2507,Qwen 3 235B A22B Thinking,0.875196286639034,0.17599721433362925,2.2678441815678703,1,"B200,H100",235.0,measured
Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,Qwen 3 235B A22B Thinking FP8,1.0537165714952703,0.11603190050785238,3.21918758248724,1,"B200,H100",235.0,measured
Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen 3 30B A3B Instruct,0.07253824612569998,0.01566896803188188,0.2285978045727207,1,"B200,H100",30.0,measured
Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen 3 30B A3B Thinking,0.13603720681233442,0.024346925037408106,0.3666457482226765,1,"B200,H100",30.0,measured
Qwen/Qwen3-32B,Qwen 3 32B,0.19561388209582656,0.03905033228572156,0.6536353760741664,2,"B200,H100",32.0,measured
Qwen/Qwen3-8B,Qwen 3 8B,0.07041218048591161,0.014738366025288333,0.3252502211955408,2,"B200,H100",8.0,measured
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen 3 Coder 30B A3B,0.11584396290447325,0.031081661234034982,0.2882311603703228,1,"B200,H100",30.0,measured
Qwen/Qwen3-Coder-480B-A35B-Instruct,Qwen 3 Coder 480B A35B,1.3674308125197159,0.3444398200856509,3.627047744969089,1,B200,480.0,measured
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,Qwen 3 Coder 480B A35B FP8,3.387406827601388,1.0542367816952478,9.537118170610944,1,B200,480.0,measured
