model,date,input_price_per_1m,output_price_per_1m,provider
claude 3 haiku,2025-05-12,0.25,1.25,anthropic
claude 3 haiku,2025-05-19,0.25,1.25,anthropic
claude 3 opus,2025-05-12,15.0,75.0,anthropic
claude 3 opus,2025-05-19,15.0,75.0,anthropic
claude 3.5 haiku,2025-05-12,0.8,4.0,anthropic
claude 3.5 haiku,2025-05-19,0.8,4.0,anthropic
claude 3.5 sonnet,2025-05-12,3.0,15.0,anthropic
claude 3.5 sonnet,2025-05-19,3.0,15.0,anthropic
claude 3.7 sonnet,2025-05-12,3.0,15.0,anthropic
claude 3.7 sonnet,2025-05-19,3.0,15.0,anthropic
claude haiku 3,2025-07-01,0.25,1.25,anthropic
claude haiku 3,2025-07-04,0.25,1.25,anthropic
claude haiku 3.5,2025-07-01,0.8,4.0,anthropic
claude haiku 3.5,2025-07-04,0.8,4.0,anthropic
claude opus 3,2025-07-01,15.0,75.0,anthropic
claude opus 3,2025-07-04,15.0,75.0,anthropic
claude opus 4,2025-07-01,15.0,75.0,anthropic
claude opus 4,2025-07-04,15.0,75.0,anthropic
claude sonnet 3.5,2025-07-01,3.0,15.0,anthropic
claude sonnet 3.5,2025-07-04,3.0,15.0,anthropic
claude sonnet 3.7,2025-07-01,3.0,15.0,anthropic
claude sonnet 3.7,2025-07-04,3.0,15.0,anthropic
claude sonnet 4,2025-07-01,3.0,15.0,anthropic
claude sonnet 4,2025-07-04,3.0,15.0,anthropic
gemini 2.5 flash,2025-10-02,0.3,2.5,google
gemini 2.5 flash,2026-01-01,0.3,2.5,google
gemini 2.5 flash,2026-04-01,0.3,2.5,google
gemini 2.5 flash,2026-04-01,0.54,4.5,google
gemini 2.5 flash,2026-04-01,0.15,1.25,google
gemini 2.5 flash,2026-04-01,0.15,,google
gemini 2.5 flash ga,2025-07-05,0.3,2.5,google
gemini 2.5 flash ga,2025-07-05,0.15,0.6,google
gemini 2.5 flash image,2026-04-01,0.3,2.5,google
gemini 2.5 flash image,2026-04-01,0.15,1.25,google
gemini 2.5 flash lite,2025-07-05,0.1,0.4,google
gemini 2.5 flash lite,2025-10-02,0.1,0.4,google
gemini 2.5 flash lite,2026-01-01,0.1,0.4,google
gemini 2.5 flash lite,2026-04-01,0.1,0.4,google
gemini 2.5 flash lite,2026-04-01,0.18,0.72,google
gemini 2.5 flash lite,2026-04-01,0.05,0.2,google
gemini 2.5 flash live api,2025-07-05,0.5,2.0,google
gemini 2.5 flash live api,2025-10-02,0.5,2.0,google
gemini 2.5 flash live api,2026-01-01,0.5,2.0,google
gemini 2.5 flash live api,2026-04-01,0.5,2.0,google
gemini 2.5 pro,2025-07-05,1.25,10.0,google
gemini 2.5 pro,2025-10-02,1.25,10.0,google
gemini 2.5 pro,2026-01-01,1.25,10.0,google
gemini 2.5 pro,2026-04-01,1.25,10.0,google
gemini 2.5 pro,2026-04-01,2.25,18.0,google
gemini 2.5 pro,2026-04-01,0.625,5.0,google
gemini 2.5 pro computer use-preview,2026-01-01,1.25,10.0,google
gemini 2.5 pro computer use-preview,2026-04-01,1.25,10.0,google
gemini 3 flash preview,2026-01-01,0.5,3.0,google
gemini 3 flash preview,2026-04-01,0.5,3.0,google
gemini 3 flash preview,2026-04-01,0.9,5.4,google
gemini 3 flash preview,2026-04-01,0.25,1.5,google
gemini 3 pro image preview,2026-04-01,2.0,12.0,google
gemini 3 pro image preview,2026-04-01,1.0,6.0,google
gemini 3 pro preview,2026-01-01,2.0,12.0,google
gemini 3 pro preview,2026-04-01,2.0,12.0,google
gemini 3 pro preview,2026-04-01,3.6,21.6,google
gemini 3 pro preview,2026-04-01,1.0,6.0,google
gemini 3.1 flash image preview,2026-04-01,0.5,3.0,google
gemini 3.1 flash image preview,2026-04-01,0.25,1.5,google
gemini 3.1 flash-lite preview,2026-04-01,0.25,1.5,google
gemini 3.1 flash-lite preview,2026-04-01,0.45,2.7,google
gemini 3.1 flash-lite preview,2026-04-01,0.13,0.75,google
gemini 3.1 pro preview,2026-04-01,2.0,12.0,google
